11;slideOpcion1;"{""top"":""15%"", ""right"":""10%"", ""width"":""45%"", ""left"":""""}";"{""top"":""20%"", ""left"":""10%"", ""width"":""40%"", ""right"":""10%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";11;0000-00-10
12;slideOpcion2;"{
    ""top"":""5%"", ""left"":""15%"", ""width"":""25%"", ""right"":""""
  }";"{""top"":""20%"", ""right"":""10%"",""left"":"""", ""width"":""40%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";12;0000-00-11
13;slideOpcion1;"{""top"":""15%"", ""right"":""10%"", ""width"":""45%"", ""left"":""""}";"{""top"":""20%"", ""left"":""10%"", ""width"":""40%"", ""right"":""10%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";13;0000-00-12
14;slideOpcion2;"{
    ""top"":""5%"", ""left"":""15%"", ""width"":""25%"", ""right"":""""
  }";"{""top"":""20%"", ""right"":""10%"",""left"":"""", ""width"":""40%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";14;0000-00-13
15;slideOpcion1;"{""top"":""15%"", ""right"":""10%"", ""width"":""45%"", ""left"":""""}";"{""top"":""20%"", ""left"":""10%"", ""width"":""40%"", ""right"":""10%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";15;0000-00-14
16;slideOpcion2;"{
    ""top"":""5%"", ""left"":""15%"", ""width"":""25%"", ""right"":""""
  }";"{""top"":""20%"", ""right"":""10%"",""left"":"""", ""width"":""40%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";16;0000-00-15
17;slideOpcion1;"{""top"":""15%"", ""right"":""10%"", ""width"":""45%"", ""left"":""""}";"{""top"":""20%"", ""left"":""10%"", ""width"":""40%"", ""right"":""10%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";17;0000-00-16
18;slideOpcion2;"{
    ""top"":""5%"", ""left"":""15%"", ""width"":""25%"", ""right"":""""
  }";"{""top"":""20%"", ""right"":""10%"",""left"":"""", ""width"":""40%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";18;0000-00-17
19;slideOpcion1;"{""top"":""15%"", ""right"":""10%"", ""width"":""45%"", ""left"":""""}";"{""top"":""20%"", ""left"":""10%"", ""width"":""40%"", ""right"":""10%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";19;0000-00-18
20;slideOpcion2;"{
    ""top"":""5%"", ""left"":""15%"", ""width"":""25%"", ""right"":""""
  }";"{""top"":""20%"", ""right"":""10%"",""left"":"""", ""width"":""40%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";20;0000-00-19
21;slideOpcion1;"{""top"":""15%"", ""right"":""10%"", ""width"":""45%"", ""left"":""""}";"{""top"":""20%"", ""left"":""10%"", ""width"":""40%"", ""right"":""10%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";21;0000-00-20
22;slideOpcion2;"{
    ""top"":""5%"", ""left"":""15%"", ""width"":""25%"", ""right"":""""
  }";"{""top"":""20%"", ""right"":""10%"",""left"":"""", ""width"":""40%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";22;0000-00-21
23;slideOpcion1;"{""top"":""15%"", ""right"":""10%"", ""width"":""45%"", ""left"":""""}";"{""top"":""20%"", ""left"":""10%"", ""width"":""40%"", ""right"":""10%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";23;0000-00-22
24;slideOpcion2;"{
    ""top"":""5%"", ""left"":""15%"", ""width"":""25%"", ""right"":""""
  }";"{""top"":""20%"", ""right"":""10%"",""left"":"""", ""width"":""40%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";24;0000-00-23
25;slideOpcion1;"{""top"":""15%"", ""right"":""10%"", ""width"":""45%"", ""left"":""""}";"{""top"":""20%"", ""left"":""10%"", ""width"":""40%"", ""right"":""10%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";25;0000-00-24
26;slideOpcion2;"{
    ""top"":""5%"", ""left"":""15%"", ""width"":""25%"", ""right"":""""
  }";"{""top"":""20%"", ""right"":""10%"",""left"":"""", ""width"":""40%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";26;0000-00-25
27;slideOpcion1;"{""top"":""15%"", ""right"":""10%"", ""width"":""45%"", ""left"":""""}";"{""top"":""20%"", ""left"":""10%"", ""width"":""40%"", ""right"":""10%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";27;0000-00-26
28;slideOpcion2;"{
    ""top"":""5%"", ""left"":""15%"", ""width"":""25%"", ""right"":""""
  }";"{""top"":""20%"", ""right"":""10%"",""left"":"""", ""width"":""40%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";28;0000-00-27
29;slideOpcion1;"{""top"":""15%"", ""right"":""10%"", ""width"":""45%"", ""left"":""""}";"{""top"":""20%"", ""left"":""10%"", ""width"":""40%"", ""right"":""10%""}";"<button class=""btn btn-default backColor text-uppercase"">

							VER PRODUCTO <span class=""fa-solid fa-chevron-right""></span>

							</button>";29;0000-00-28
